epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,170.207,2.26746,7.71955,0.01529,0.00139,0.08725,0.00922,0.00193,1.89244,7.63227,0.02043,0.000101111,0.000101111,0.000101111
2,332.173,1.60994,5.86549,0.01369,0.00271,0.10196,0.01974,0.00759,1.91722,7.35022,0.02081,0.000250275,0.000250275,0.000250275
3,504.291,1.37133,5.41641,0.00943,0.01086,0.29482,0.06025,0.03394,1.54221,6.51465,0.0147,0.000396436,0.000396436,0.000396436
4,667.412,1.16881,4.94274,0.00867,0.02793,0.33464,0.09375,0.04641,1.97935,6.82545,0.01792,0.000441486,0.000441486,0.000441486
5,819.431,1.11182,4.66657,0.00759,0.70304,0.0876,0.10989,0.07645,1.22453,7.08864,0.00985,0.000436982,0.000436982,0.000436982
6,1025.3,0.9368,4.34396,0.00698,0.70304,0.0876,0.10989,0.07645,1.22453,7.08864,0.00985,0.000432478,0.000432478,0.000432478
7,1270.87,0.98797,4.27616,0.00615,0.24542,0.32754,0.11847,0.0802,1.20564,9.78493,0.00927,0.000427973,0.000427973,0.000427973
8,1537.38,0.97555,4.06589,0.00689,0.14733,0.4177,0.22904,0.16343,1.15236,9.55307,0.0091,0.000423468,0.000423468,0.000423468
9,1795.25,0.89672,3.71602,0.00545,0.46522,0.44197,0.48019,0.34261,1.05818,6.02578,0.00811,0.000418964,0.000418964,0.000418964
10,2008.31,0.89901,3.61564,0.00631,0.46522,0.44197,0.48019,0.34261,1.05818,6.02578,0.00811,0.00041446,0.00041446,0.00041446
