"operation_id","status_id","meter_id","meter_code","meter_cuscode","office_id","rate_type","meter_station","station_id","station_name","billing_val_ft","billing_require_all","billing_require_peak","billing_require_off_peak","billing_require_holiday","billing_unit_all","billing_unit_peak","billing_unit_off_peak","billing_unit_holiday","billing_require_home","billing_unit_use","billing_power_max","billing_power","billing_service","billing_rate_ft","billing_power_factor","billing_adjust","billing_netcost","billing_vat","billing_cost_all","billing_factormultiple","billing_shutdown","billing_decreasedemand","billing_demandremain","billing_filepath","billing_comment","billing_rate_office","billing_correct","billing_rate_type","id","operation_id","status_id","office_bacode","office_id","office_mcode","office_zone","sub_id","sub_mcode","office_wwcode","plant_id","menu_id","calendar_id","yyyymm","thyyyymm","fiscalyyyy","fiscalmm","calendar_lastdate","yyyymmdd","menu_name","main_office","main_soffice","main_shoffice","sub_office","sub_soffice","sub_shoffice","plant_name","calendar_thai_month","calendar_thai_year","status_zone","status_center"
"41665","13490919","1217","d02101","9801020014471395","356","3.2.2","โรงกรองน้ำหนองคาย ต.ในเมือง อ.เมือง จ.หนองคาย","2","โรงกรอง","0.1623","0","152.07","137.77","238.23","71877","29929.23","19915.76","22032.01","535","71877","20214.67","234440.32","312.24","11665.64","0","0","266632.87","18664.3","285297.17","0","0","0","0","../WebScript/Upload/Electric/13490919_384684_10082026155623.jpg","","0","0","0","47081","41665","13490919","1088","355","2290720000","7","355","2290720000","5522020","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาหนองคาย","กปภ.สาขาหนองคาย","หนองคาย","การประปาส่วนภูมิภาคสาขาหนองคาย","กปภ.สาขาหนองคาย","หนองคาย",,"กรกฎาคม","2569","1","1"
"41665","13490919","1219","d02101","9809020014499802","356","3.2.2","โรงกรองน้ำบ้านหนองบัว อ.เมือง จ.หนองคาย","2","โรงกรอง","0.1623","0","188.43","181.24","202.4","117042","44073.39","31490.12","41478.49","230","117042","25048","374387.02","312.24","18995.92","0","0","418743.18","29312.02","448055.2","0","0","0","0","../WebScript/Upload/Electric/13490919_384685_10082026155829.jpg","","0","0","0","47081","41665","13490919","1088","355","2290720000","7","355","2290720000","5522020","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาหนองคาย","กปภ.สาขาหนองคาย","หนองคาย","การประปาส่วนภูมิภาคสาขาหนองคาย","กปภ.สาขาหนองคาย","หนองคาย",,"กรกฎาคม","2569","1","1"
"41581","13490835","460","A09102","9810 020005015286","7","2.2.1","สถานีผลิตน้ำแม่วาง ต.บ้านกาด อ.แม่วาง จ.เชียงใหม่","3","แรงสูง","0.1623","0","22.79","22.68","22.79","8814.69","3451.27","2528.82","2834.6","130","8814.69","31612.81","0","312.24","1430.62","0","0","33355.67","2334.9","35690.57","0","0","0","0","../WebScript/Upload/Electric/13490835_381931_31072026113027.jpg","กว. P23.13, OP23.01, H23.13
หักมิเตอร์ย่อย 130.00 หน่วย","0","0","0","43962","41581","13490835","1004","4","2190911000","9","4","2190911000","5511011","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่",,"กรกฎาคม","2569","1","1"
"41632","13490886","850","C07301","020006147455","201","3.2.2","แรงต่ำบึงสามพัน","4","แรงต่ำ","0.1623","0","76.97","76.57","76.57","30779","8618.24","9025.02","13136.73","92","30779","10231.62","93760.42","312.24","4995.59","0","0","109299.87","7650.99","116950.86","0","0","0","0","../WebScript/Upload/Electric/13490886_380685_10082026113347.jpg","","0","0","0","45780","41632","13490886","1056","201","2191035000","10","201","2191035000","5512035","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาหนองไผ่","กปภ.สาขาหนองไผ่","หนองไผ่","การประปาส่วนภูมิภาคสาขาหนองไผ่","กปภ.สาขาหนองไผ่","หนองไผ่",,"กรกฎาคม","2569","1","1"
"41692","13490946","544","H04501","9801020002042610","452","3.2.2","โรงกรองน้ำบางอิน","2","โรงกรอง","0.1623","0","105.63","136.76","130.46","43677.99","19040.64","10543.1","14094.25","650","43677.99","14041.4","143812.42","312.24","7088.94","0","0","165255","11567.85","176822.85","0","0","0","0","../WebScript/Upload/Electric/13490946_380234_27072026094230.jpg","","0","0","0","47902","41692","13490946","1118","451","2390127000","1","451","2390127000","5531027","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาคลองใหญ่","กปภ.สาขาคลองใหญ่","คลองใหญ่","การประปาส่วนภูมิภาคสาขาคลองใหญ่","กปภ.สาขาคลองใหญ่","คลองใหญ่",,"กรกฎาคม","2569","1","1"
"41692","13490946","2536","H04101","9805020021571507","452","3.2.2","โรงกรองน้ำคลองสะพานหิน","2","โรงกรอง","0.1623","0","27.9","68.38","74.66","15969.99","5132.09","4900.24","5937.66","286","15969.99","3708.75","49690.82","312.24","2591.93","953.19","0","57256.93","4007.99","61264.92","0","0","0","0","../WebScript/Upload/Electric/13490946_380237_10082026092452.jpg","","0","0","0","47902","41692","13490946","1118","451","2390127000","1","451","2390127000","5531027","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาคลองใหญ่","กปภ.สาขาคลองใหญ่","คลองใหญ่","การประปาส่วนภูมิภาคสาขาคลองใหญ่","กปภ.สาขาคลองใหญ่","คลองใหญ่",,"กรกฎาคม","2569","1","1"
"41780","13491032","3007","6001695111","9029020023434035","758","3.2.2","โรงสูบกรองน้ำแรงสูงโคกเคียน","3","แรงสูง","0.1623","0","94.58","100.57","101.77","44885","16162.91","12870.47","15851.62","103","44885","12572.52","142407.71","312.24","7284.84","1177.47","0","163754.78","11462.83","175217.61","0","0","0","0","../WebScript/Upload/Electric/13491032_384777_11082026131115.jpg","","0","0","0","50697","41780","13491032","1214","757","2590421000","4","757","2590421000","5551022","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาตะกั่วป่า","กปภ.สาขาตะกั่วป่า","ตะกั่วป่า","การประปาส่วนภูมิภาคสาขาตะกั่วป่า","กปภ.สาขาตะกั่วป่า","ตะกั่วป่า",,"กรกฎาคม","2569","1","1"
"41692","13490946","467","H04501","9806020002056786","452","2.1.1","สำนักงาน","1","สำนักงาน","0.1623","0","7.84","6.98","3.99","1662","993.75","358.54","309.71","360","1662","6496.1","0","312.24","269.74","0","0","7078.08","495.47","7573.55","0","0","0","0","../WebScript/Upload/Electric/13490946_380232_27072026094329.jpg","","0","0","0","47902","41692","13490946","1118","451","2390127000","1","451","2390127000","5531027","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาคลองใหญ่","กปภ.สาขาคลองใหญ่","คลองใหญ่","การประปาส่วนภูมิภาคสาขาคลองใหญ่","กปภ.สาขาคลองใหญ่","คลองใหญ่",,"กรกฎาคม","2569","1","1"
"41630","13490884","1067","C09101","9802020006412352","196","3.2.2","สถานีผลิตจ่ายน้ำห้วยขอนแก่น ( แรงต่ำ )","4","แรงต่ำ","0.1623","0","72.13","72.13","71.48","49319.86","18245.76","14981.76","16092.34","0","49464.29","9588.24","157246.06","312.24","8004.61","280.35","-21.27","175410.23","12278.72","187688.95","0","100","0.15","0","../WebScript/Upload/Electric/13490884_380107_03082026142026.jpg","","0","0","0","45720","41630","13490884","1054","195","2191033000","10","195","2191033000","5512033","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาหล่มสัก","กปภ.สาขาหล่มสัก","หล่มสัก","การประปาส่วนภูมิภาคสาขาหล่มสัก","กปภ.สาขาหล่มสัก","หล่มสัก",,"กรกฎาคม","2569","1","1"
"41650","13490904","1185","F11201","9087020013361320","283","3.2.2","โรงสูบน้ำแรงสูงหน่วยบริการเกษตรสมบูรณ์","3","แรงสูง","0.1623","0","54.92","53.94","54.43","32506.28","12621.76","9331.67","10552","97","32506.28","7300.52","104581.5","312.24","5275.77","112.14","0","117582.17","8230.75","125812.92","0","0","0","0","../WebScript/Upload/Electric/13490904_381860_05082026140749.jpg","","0","0","0","46468","41650","13490904","1076","281","2290627000","6","281","2290627000","5521027","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาหนองบัวแดง","กปภ.สาขาหนองบัวแดง","หนองบัวแดง","การประปาส่วนภูมิภาคสาขาหนองบัวแดง","กปภ.สาขาหนองบัวแดง","หนองบัวแดง",,"กรกฎาคม","2569","1","1"
